"prob","pay","role","item","bg_type","trialnumber","value"
0.559603380852856,10.3224287494712,"targ","urn","urn",1,5.77646602681678
0.969518254511058,2.85588472293814,"targ","urn","urn",2,2.76883237166778
0.71582188596949,3.86804654333494,"targ","urn","urn",3,2.76883237166778
0.0962108180392534,2.43636701071207,"targ","ticket","urn",4,0.234404863144459
0.169979281723499,1.37902020038983,"targ","ticket","ticket",5,0.234404863144459
0.597104192200271,10.7622183245891,"targ","urn","urn",6,6.42616567898671
0.566482840003839,12.8465734901808,"targ","urn","urn",7,7.27736343503567
0.2692493818817,14.143947687145,"targ","ticket","urn",8,3.80824917213088
0.2692493818817,17.2659698749479,"targ","urn","urn",9,4.64885171641777
0.2692493818817,14.143947687145,"targ","ticket","urn",10,3.80824917213088
0.154613075194399,12.5221314480107,"targ","urn","ticket",11,1.93608525116543
0.368512174580246,5.25378911394374,"targ","urn","urn",12,1.93608525116543
0.467718952347059,1.44450895173223,"targ","ticket","ticket",13,0.675624213560147
0.648662188788876,4.47525693059613,"targ","urn","urn",14,2.90292995599307
0.307537344326241,12.3619698929896,"targ","urn","urn",15,3.80176739153098
0.369790191547921,12.3619698929896,"targ","urn","urn",16,4.57133521463827
0.930962778162211,9.29495875142021,"targ","urn","urn",17,8.65326062212532
0.930962778162211,8.13709086808814,"targ","urn","urn",18,7.57532872071369
0.482024590019137,10.3569640891798,"targ","ticket","ticket",19,4.99231136892982
0.844634132559636,4.18498855359026,"targ","urn","ticket",20,3.53478417673372
0.100523636425276,21.0416721450404,"targ","ticket","ticket",21,2.1151854004879
0.47940671768884,14.2620587755377,"targ","urn","urn",22,6.83732678506582
0.669272954575717,10.2160512214337,"targ","urn","urn",23,6.83732678506582
0.55862841126509,3.96394503076463,"targ","urn","ticket",24,2.2143723148782
0.337252316640878,13.1856588571224,"targ","urn","ticket",25,4.44689399600083
0.302183044583587,11.4467710164409,"targ","ticket","ticket",26,3.45902011639926
0.788382103666663,5.78265929436704,"targ","urn","urn",27,4.55894509928067
0.227639204745803,20.0270647772272,"targ","urn","urn",28,4.55894509928067
0.718673430731732,5.73515844496898,"targ","urn","urn",29,4.12170599543592
0.672182717100731,5.69997715508905,"targ","urn","urn",30,3.83142613151985
0.334114633863199,22.0818222363717,"targ","ticket","urn",31,7.37785995153756
0.250202782331198,9.88400057309616,"targ","urn","urn",32,2.47300444395181
0.463356942636892,15.1413333009235,"targ","ticket","ticket",33,7.01584190576209
0.551024781519325,3.89646919625793,"targ","urn","ticket",34,2.14705108756481
0.096600626828149,19.2924927645479,"targ","ticket","urn",35,1.86366689413285
0.26900718347138,17.5477234888508,"targ","ticket","urn",36,4.72046367207034
0.232495101867244,20.3034972958947,"targ","ticket","ticket",37,4.72046367207034
0.232495101867244,20.3034972958947,"targ","urn","urn",38,4.72046367207034
0.232495101867244,24.5458764886232,"targ","urn","urn",39,5.70679605464324
0.232495101867244,20.3034972958947,"targ","ticket","urn",40,4.72046367207034
0.102177360465585,13.1710257295207,"targ","ticket","ticket",41,1.34578064366673
0.375701959030521,15.4899733308729,"targ","ticket","ticket",42,5.81961332573948
0.515571081079543,10.4656765769823,"targ","urn","urn",43,5.39580018702362
